id;name;titel;familie;geburtsdatum;geburtsdatum_unsicher;sterbedatum;sterbedatum_unsicher;ehepartner_id;ehepartner_id_unsicher;vater_id;vater_id_unsicher;mutter_id;mutter_id_unsicher;anmerkung;unsicherheit_anmerkung;hrr_status;herrschaft_von;herrschaft_bis
karl_iv;Karl IV.;Römisch-deutscher König (ab 1346), König von Böhmen (ab 1347), Kaiser des Hl. Römischen Reichs (ab 1355);luxemburg;14. Mai 1316;nein;29. November 1378;nein;elisabeth_von_pommern;nein;;;;;"Haus Luxemburg, nicht Habsburg – bewusst in dieser Tabelle enthalten wegen Erwähnung in einer Urkunde als Vater Sigismunds. Vier Ehen insgesamt: Blanche von Valois (Mutter Katharinas von Luxemburg, siehe Zeile katharina_von_luxemburg), Anna von der Pfalz, Anna von Schweidnitz (Mutter Elisabeths von Böhmen, siehe Zeile elisabeth_von_boehmen_1358) und Elisabeth von Pommern (Mutter Sigismunds). Aus Gründen der Übersichtlichkeit ist hier nur die vierte, für die Verknüpfung zu Sigmund nötige Ehe als ehepartner_id geführt; die beiden mütterlichen Zuordnungen zu Katharina und Elisabeth sind direkt in deren Zeilen vermerkt.";;kaiser;;
rudolf_iv;"Rudolf IV. (""der Stifter"")";"Herzog (ab 1359 selbsternannter Erzherzog) von Österreich, Kärnten und Steiermark; ab 1363 Graf von Tirol, ab 1364 Herzog von Krain";habsburg;1. November 1339;nein;27. Juli 1365;nein;katharina_von_luxemburg;nein;albrecht_ii;nein;johanna_von_pfirt;nein;"Gründer der Universität Wien; Urheber des ""Privilegium maius"". Kinderlose Ehe. Bruder Albrechts III. und Leopolds III.";;keiner;;
katharina_von_luxemburg;Katharina von Luxemburg (von Böhmen);Herzogin von Österreich (durch Heirat);luxemburg;1342;nein;1373;nein;rudolf_iv;nein;karl_iv;nein;;;"Tochter Kaiser Karls IV.; Heirat mit Rudolf IV. im Juli 1357 (symbolisches Beilager bereits 1353). Die Ehe blieb kinderlos. Verweis auf Karl IV. (bereits als ""Vater Sigismunds"" in der Tabelle enthalten).";;keiner;;
elisabeth_von_pommern;Elisabeth von Pommern-Wolgast;Römisch-deutsche Kaiserin, Königin von Böhmen (durch Heirat);pommern;um 1347;ja;1393;nein;karl_iv;nein;;;;;"Vierte Ehefrau Karls IV. (Heirat 21. Mai 1363 in Krakau); Tochter Herzog Bogislaws V. von Pommern-Wolgast und damit Halbschwester Margarethes von Pommern (erste Ehefrau Ernsts I., siehe Zeile margarethe_von_pommern). Mutter Sigismunds.";;kaiserin_heirat;;
friedrich_iii_1347;Friedrich III. von Österreich (1347–1362);Herzog von Österreich (Mitregent seiner Brüder);habsburg;31. März 1347;nein;10. Dezember 1362;nein;;;albrecht_ii;nein;johanna_von_pfirt;nein;"In StAK-UrkKr-0032 als Bruder Rudolfs IV. und Mit-Herzog genannt; nicht mit Kaiser Friedrich III. zu verwechseln.";;keiner;;
albrecht_iii;"Albrecht III. (""mit dem Zopf"")";Herzog von Österreich (1365-1395), zeitweise auch Steiermark, Kärnten, Krain und Tirol;habsburg;9. September 1349 oder 1350;ja;28./29. August 1395;ja;elisabeth_von_boehmen_1358|beatrix_von_zollern;nein;albrecht_ii;nein;johanna_von_pfirt;nein;Begründer der Albertinischen Linie (erloschen 1457 mit Ladislaus Postumus). Genaues Geburtsdatum in den Quellen uneinheitlich. Bruder Rudolfs IV. und Leopolds III.;;keiner;;
viridis_visconti;Viridis Visconti;"Herzogin von Mailand (durch Geburt); Herzogin von Österreich, Steiermark und Kärnten, Gräfin von Tirol (durch Heirat)";visconti;um 1350;ja;1. März 1414;nein;leopold_iii;nein;;;;;Mutter Ernsts I., Großmutter Friedrichs III. Ehe mit Leopold III., dessen eigene Zeile in einem späteren Arbeitsschritt ergänzt wird. Eltern (Bernabò Visconti, Beatrice della Scala) nicht in dieser Tabelle erfasst.;;keiner;;
leopold_iii;"Leopold III. (""der Gerechte"")";Herzog von Österreich, Steiermark, Kärnten und Krain;habsburg;1. November 1351;nein;9. Juli 1386;nein;viridis_visconti;nein;albrecht_ii;nein;johanna_von_pfirt;nein;Gefallen in der Schlacht bei Sempach. Begründer der Leopoldinischen Linie (Vater Ernsts I., Großvater Friedrichs III.). Bruder Rudolfs IV. und Albrechts III.;;keiner;;
elisabeth_von_boehmen_1358;Elisabeth von Böhmen (Elisabeth von Luxemburg-Böhmen);Herzogin von Österreich (durch Heirat);luxemburg;19. März 1358;nein;1373;nein;albrecht_iii;nein;karl_iv;nein;;;"Erste, kinderlose Ehe Albrechts III.; Tochter Kaiser Karls IV. aus dessen dritter Ehe mit Anna von Schweidnitz (nicht in dieser Tabelle als eigene Zeile erfasst). Nicht zu verwechseln mit der gleichnamigen späteren Gemahlin Albrechts V. (siehe Zeile elisabeth_von_luxemburg_1409).";;keiner;;
beatrix_von_zollern;Beatrix von Zollern (von Nürnberg);Herzogin von Österreich (durch Heirat);hohenzollern;1362;nein;1414;nein;albrecht_iii;nein;;;;;"Zweite Ehefrau Albrechts III. (Heirat 1375); Tochter Burggraf Friedrichs V. von Nürnberg. Mutter Albrechts IV. Entspricht der ursprünglich mit ""Beatrix"" bezeichneten Person auf der Ausgangsliste (bestätigt).";;keiner;;
margarethe_von_pommern;Margarethe von Pommern;Herzogin von Österreich (durch Heirat);pommern;um 1366;ja;30. April 1407;nein;ernst_i;nein;;;;;"Erste, kinderlos gebliebene Ehe Ernsts I. (geschlossen 1392). Tochter Herzog Bogislaws V. von Pommern; Halbschwester der Kaiserin Elisabeth von Pommern (Gemahlin Karls IV.).";;keiner;;
sigmund;Sigismund (Sigmund) von Luxemburg;Kurfürst von Brandenburg, König von Ungarn (ab 1387), römisch-deutscher König (ab 1410/11), König von Böhmen (ab 1419), Kaiser des Hl. Römischen Reichs (ab 1433);luxemburg;14. Februar 1368;nein;9. Dezember 1437;nein;maria_von_ungarn|barbara_von_cilli;nein;karl_iv;nein;elisabeth_von_pommern;nein;Sohn Karls IV. aus dessen vierter Ehe. Zweite Ehe mit Barbara von Cilli brachte die Tochter Elisabeth von Luxemburg hervor, die Albrecht V. (später Albrecht II., röm.-dt. König) heiratete – Zeilen zu Maria von Ungarn und Barbara von Cilli folgen im Arbeitsschritt zu Albrecht V.;;kaiser;;
wilhelm_der_freundliche;Wilhelm „der Freundliche“ von Österreich;"Herzog von Österreich; zeitweise Regent und Vormund Albrechts V.";habsburg;um 1370;ja;15. Juli 1406;nein;johanna_ii_von_neapel;nein;leopold_iii;nein;viridis_visconti;nein;"In mehreren Bestätigungsurkunden als Herzog Wilhelm genannt; in der bisherigen Stammbaumliste ausgelassen.";;keiner;;
leopold_iv;"Leopold IV. (""der Dicke"")";Herzog von Österreich (1386-1411), ab 1396 auch Graf von Tirol;habsburg;1371;nein;3. Juni 1411;nein;katharina_von_burgund;nein;leopold_iii;nein;viridis_visconti;nein;Zweitältester Sohn Leopolds III., Bruder Ernsts I. Vormund des minderjährigen Albrecht V. (1406-1411).;;keiner;;
maria_von_ungarn;Maria von Ungarn (Anjou);"Königin von Ungarn und Kroatien (aus eigenem Recht, 1382-1395); röm.-dt. Königin (durch Heirat mit Sigismund)";anjou;1371;nein;17. Mai 1395;nein;sigmund;nein;;;;;"Erste, kinderlose Ehe Sigismunds (Heirat Oktober 1385); Tochter König Ludwigs I. von Ungarn. Starb an den Folgen eines Reitunfalls.";;koenigin_heirat;;
johanna_ii_von_neapel;Johanna II. von Neapel;"Königin von Neapel (aus eigenem Recht, ab 1414); Herzogin von Österreich durch Ehe";anjou-durazzo;25. Juni 1373;nein;2. Februar 1435;nein;wilhelm_der_freundliche;nein;;;;;"Ehefrau Herzog Wilhelms; zur wechselseitigen genealogischen Verknüpfung ergänzt. In den Kremser Regesten nicht namentlich belegt.";;keiner;;
johanna_sophie_von_bayern;Johanna Sophie von Bayern-Straubing;Herzogin von Österreich (durch Heirat);wittelsbach;1373 oder 1377;ja;28. Juli 1410;nein;albrecht_iv;nein;;;;;"Gemahlin Albrechts IV. (Heirat 24. April 1390 in Wien); Tochter Herzog Albrechts I. von Bayern-Straubing-Holland. Mutter Albrechts V.";;keiner;;
albrecht_iv;"Albrecht IV. (""das Weltwunder""/""der Geduldige"")";Herzog von Österreich (1395-1404);habsburg;19. oder 20. September 1377;ja;25. August oder 14. September 1404;ja;johanna_sophie_von_bayern;nein;albrecht_iii;nein;beatrix_von_zollern;nein;Einziges Kind Albrechts III. aus dessen zweiter Ehe. Genaue Geburts- und Sterbedaten in den Quellen uneinheitlich überliefert. Vater Albrechts V. (später Albrecht II., röm.-dt. König).;;keiner;;
ernst_i;"Ernst I. (""der Eiserne"")";"Herzog von Steiermark, Kärnten und Krain; ab 1414 Erzherzog von Österreich";habsburg;um 1377;ja;10. Juni 1424;nein;margarethe_von_pommern|cimburgis_von_masowien;nein;leopold_iii;nein;viridis_visconti;nein;"Vater Friedrichs III.; Sohn Leopolds III., dessen eigene Zeile in einem späteren Arbeitsschritt ergänzt wird.";;keiner;;
katharina_von_burgund;Katharina von Burgund;Herzogin von Österreich (durch Heirat);burgund;1378;nein;26. Januar 1425;nein;leopold_iv;nein;;;;;"Gemahlin Leopolds IV. (Heirat 1393); Tochter Herzog Philipps des Kühnen von Burgund.";;keiner;;
heinrich_xvi_von_bayern;Heinrich XVI. „der Reiche“ von Bayern;Herzog von Bayern-Landshut;wittelsbach;1386;ja;30. Juli 1450;nein;margarete_von_oesterreich_1395;nein;;;;;"Ehemann Margaretes von Österreich; zur wechselseitigen genealogischen Verknüpfung ergänzt.";;keiner;;
barbara_von_cilli;Barbara von Cilli;Röm.-dt. Kaiserin, Königin von Ungarn und Böhmen (durch Heirat);cilli;um 1390/1392;ja;11. Juli 1451;nein;sigmund;nein;;;;;"Zweite Ehefrau Sigismunds (Heirat Dezember 1405); Tochter Graf Hermanns II. von Cilli. Mutter Elisabeths von Luxemburg. Bekannt als Astrologin und Alchemistin.";;kaiserin_heirat;;
cimburgis_von_masowien;Cimburgis von Masowien;"Herzogin bzw. Erzherzogin von Österreich (durch Heirat); Prinzessin von Masowien";masowien;1394 oder 1397;ja;28. September 1429;nein;ernst_i;nein;;;;;"Geburtsjahr in den Quellen uneinheitlich (1394 oder 1397). Mutter Friedrichs III., ""Stammmutter"" der späteren Habsburger-Linie. Eltern (Siemowit IV. von Masowien, Alexandra von Litauen) nicht in dieser Tabelle erfasst.";;keiner;;
margarete_von_oesterreich_1395;Margarete von Österreich (1395–1447);Herzogin von Bayern-Landshut durch Heirat;habsburg;26. Juni 1395;nein;24. Dezember 1447;nein;heinrich_xvi_von_bayern;nein;albrecht_iv;nein;johanna_sophie_von_bayern;nein;"StaAKr-0163 nennt sie nur als „des Herzogs Schwester Margarete“ im Zusammenhang mit ihrer Aussteuer; dadurch leicht zu übersehen.";;keiner;;
albrecht_v;Albrecht V. (als röm.-dt. König Albrecht II.);"Herzog von Österreich (ab 1404); König von Ungarn, Kroatien und Böhmen sowie röm.-dt. König (ab 1438)";habsburg;16. August 1397;nein;27. Oktober 1439;nein;elisabeth_von_luxemburg_1409;nein;albrecht_iv;nein;johanna_sophie_von_bayern;nein;"Letzter röm.-dt. Herrscher ohne Kaiserwürde. Vater des postum geborenen Ladislaus (Ladislaus V.). Vereinigte erstmals österreichische, böhmische und ungarische Länder in einer Person. Geburtsdatum nach aktueller deutscher Wikipedia 16. August 1397; ältere Literatur (u. a. Allgemeine Deutsche Biographie, Wien Geschichte Wiki) nennt davon abweichend den 10. August 1397.";;koenig;1438;1439
elisabeth_von_luxemburg_1409;Elisabeth von Luxemburg;Herzogin von Österreich, Königin von Ungarn und Böhmen, röm.-dt. Königin (durch Heirat);luxemburg;28. Februar 1409;nein;19. Dezember 1442;nein;albrecht_v;nein;sigmund;nein;barbara_von_cilli;nein;Einziges Kind aus der zweiten Ehe Kaiser Sigismunds mit Barbara von Cilli. Heirat mit Albrecht V. 1422 (Vollzug 3. Mai 1422 Wien). Mutter des Ladislaus Postumus (Ladislaus V.). Nicht zu verwechseln mit der gleichnamigen ersten Ehefrau Albrechts III. (siehe Zeile elisabeth_von_boehmen_1358).;;koenigin_heirat;;
friedrich_iii;Friedrich III.;Röm.-dt. König (ab 1440), Kaiser des Hl. Römischen Reichs (ab 1452), Herzog von Österreich, Steiermark, Kärnten und Krain;habsburg;21. September 1415;nein;19. August 1493;nein;eleonore_von_portugal;nein;ernst_i;nein;cimburgis_von_masowien;nein;;;kaiser;1440;1493
albrecht_vi;"Albrecht VI. (""der Verschwenderische""/""der Freigebige"")";Herzog (ab 1453 Erzherzog) von Österreich, zeitweise Innerösterreich, Vordere Lande und Land ob/unter der Enns;habsburg;18. Dezember 1418;nein;2. Dezember 1463;nein;mechthild_von_der_pfalz;nein;ernst_i;nein;cimburgis_von_masowien;nein;"Jüngerer Bruder Friedrichs III., bedeutender innenpolitischer Gegenspieler seines Bruders (""Erster Bruderzwist""). Gründer der Universität Freiburg im Breisgau. Beiname ""der Verschwender"" als Folge einer damnatio memoriae.";;keiner;;
mechthild_von_der_pfalz;Mechthild von der Pfalz;Herzogin von Österreich (durch Heirat mit Albrecht VI.);pfalz_wittelsbach;7. März 1419;nein;22. August 1482;nein;albrecht_vi;nein;;;;;"Gemahlin Albrechts VI. (Heirat 1452 in Böblingen); Tochter Kurfürst Ludwigs III. von der Pfalz. Zuvor war sie mit Ludwig I. von Württemberg verheiratet; die Ehe mit Albrecht VI. blieb kinderlos.";;keiner;;
kasimir_iv_jagiello;Kasimir IV. Jagiello;"Großfürst von Litauen; König von Polen";jagiellonen;30. November 1427;nein;7. Juni 1492;nein;elisabeth_von_oesterreich_1436;nein;;;;;"Ehemann Elisabeths von Österreich; zur wechselseitigen genealogischen Verknüpfung ergänzt.";;keiner;;
eleonore_von_portugal;Eleonore (Helena) von Portugal;Röm.-dt. Kaiserin (durch Heirat mit Friedrich III.);avis;18. September 1436;ja;3. September 1467;nein;friedrich_iii;nein;;;;;"Geburtsdatum in den Quellen uneinheitlich überliefert (u. a. 1434, 1436, 1437 genannt); deutsche Wikipedia folgt dem 18. September 1436. Mutter Maximilians I. Eltern (Eduard I. von Portugal, Eleonore von Aragón) nicht in dieser Tabelle erfasst.";;kaiserin_heirat;;
elisabeth_von_oesterreich_1436;Elisabeth von Österreich (1436/37–1505);Königin von Polen und Großfürstin von Litauen durch Heirat;habsburg;1436 oder 1437;ja;30. August 1505;nein;kasimir_iv_jagiello;nein;albrecht_v;nein;elisabeth_von_luxemburg_1409;nein;"StaAKr-0332 nennt sie lediglich als Schwester König Ladislaus’ und „Elisabeth von Polen“; ihre eigene Stellung als Königin bleibt im Regestkontext implizit.";;keiner;;
ladislaus_v;Ladislaus Postumus (Ladislaus V.);"Herzog von Österreich (nominell ab Geburt); König von Ungarn (ab 1440) und Böhmen (ab 1453)";habsburg;22. Februar 1440;nein;23. November 1457;nein;;;albrecht_v;nein;elisabeth_von_luxemburg_1409;nein;"Postum geboren, daher Beiname ""der Nachgeborene"". Starb unverheiratet mit 17 Jahren (verlobt, aber nicht mehr verheiratet mit Madeleine von Frankreich); mit ihm erlosch die Albertinische Linie der Habsburger im Mannesstamm.";;keiner;;
maria_von_burgund;Maria von Burgund;"Herzogin von Burgund (durch Erbfolge); Erzherzogin von Österreich (durch Heirat)";burgund;13. Februar 1457;nein;27. März 1482;nein;maximilian_i;nein;;;;;"Erste Ehefrau Maximilians I. (Heirat 19. August 1477); Erbtochter Karls des Kühnen von Burgund. Durch diese Ehe kamen Burgund und die habsburgischen Niederlande an das Haus Habsburg. Mutter Philipps des Schönen.";;keiner;;
maximilian_i;Maximilian I.;Röm.-dt. König (ab 1486), röm.-dt. Kaiser (ab 1508), Herzog von Burgund (durch Heirat, ab 1477);habsburg;22. März 1459;nein;12. Januar 1519;nein;maria_von_burgund|anne_de_bretagne|bianca_maria_sforza;nein;friedrich_iii;nein;eleonore_von_portugal;nein;Sohn Friedrichs III. Drei Ehen, siehe jeweilige Zeilen.;;kaiser;1486;1519
bianca_maria_sforza;Bianca Maria Sforza;Röm.-dt. Königin (ab 1494), Erzherzogin von Österreich, Kaiserin des Hl. Römischen Reichs (ab 1508);sforza;5. April 1472;nein;31. Dezember 1510;nein;maximilian_i;nein;;;;;Dritte Ehefrau Maximilians I. (Ferntrauung November 1493, Eheschließung/Vollzug März 1494 in Hall/Innsbruck). Tochter Galeazzo Maria Sforzas, Herzog von Mailand.;;kaiserin_heirat;;
anne_de_bretagne;Anne de Bretagne;"Herzogin der Bretagne; kurzzeitig Erzherzogin von Österreich (durch Heirat, 1490–1491); später Königin von Frankreich (durch zwei weitere Ehen)";bretagne;25. Januar 1477;nein;9. Januar 1514;nein;maximilian_i;nein;;;;;Zweite Verbindung Maximilians I.: Stellvertreterehe (Dezember 1490), nie vollzogen und 1491 unter politischem Druck Frankreichs annulliert. Anne heiratete danach nacheinander Karl VIII. und Ludwig XII. von Frankreich.;;keiner;;
philipp_der_schoene;"Philipp I. (""der Schöne"")";"Herzog von Burgund (ab 1482); König von Kastilien (durch Heirat, ab 1504)";habsburg;22. Juni 1478;nein;25. September 1506;nein;johanna_von_kastilien;nein;maximilian_i;nein;maria_von_burgund;nein;Einziger Sohn Maximilians I. und Marias von Burgund. Vater Karls V. und Ferdinands I.;;keiner;;
johanna_von_kastilien;"Johanna von Kastilien (""die Wahnsinnige"")";Königin von Kastilien und León (aus eigenem Recht, ab 1504);trastamara;6. November 1479;nein;1555;nein;philipp_der_schoene;nein;;;;;"Tochter der ""Katholischen Könige"" Isabella I. von Kastilien und Ferdinand II. von Aragón (nicht in dieser Tabelle erfasst). Mutter Karls V. und Ferdinands I. Nach Philipps Tod wegen ihrer psychischen Erkrankung unter Hausarrest gestellt.";;keiner;;
karl_v;Karl V.;König von Spanien (ab 1516, als Carlos I.), röm.-dt. König (ab 1519), Kaiser des Hl. Römischen Reichs (ab 1520/1530);habsburg;24. Februar 1500;nein;21. September 1558;nein;isabella_von_portugal;nein;philipp_der_schoene;nein;johanna_von_kastilien;nein;Begründer der spanischen Linie des Hauses Habsburg. Bruder Ferdinands I., dem er 1521/22 die österreichischen Erblande übertrug. Dankte 1556 ab.;;kaiser;1519;1558
anna_von_boehmen_ungarn;Anna von Böhmen und Ungarn (Jagiellonica);Röm.-dt. Kaiserin, Königin von Böhmen und Ungarn (durch Heirat);jagiellonen;23. Juli 1503;nein;27. Januar 1547;nein;ferdinand_i;nein;;;;;"Gemahlin Ferdinands I. (Heirat 1521, im Zuge der Wiener Doppelhochzeit 1515 vereinbart); Tochter König Vladislavs II. von Böhmen und Ungarn. Brachte den Erbanspruch auf Böhmen und Ungarn in die Ehe ein. Mutter Maximilians II. und Karls II. von Innerösterreich.";;kaiserin_heirat;;
ferdinand_i;Ferdinand I.;Erzherzog von Österreich (ab 1521), König von Böhmen, Kroatien und Ungarn (ab 1526/27), Kaiser des Hl. Römischen Reichs (ab 1558);habsburg;10. März 1503;nein;25. Juli 1564;nein;anna_von_boehmen_ungarn;nein;philipp_der_schoene;nein;johanna_von_kastilien;nein;"Bruder Karls V.; erhielt 1521/22 die österreichischen Erblande. Begründer der österreichischen Linie des Hauses Habsburg. Vater u. a. Maximilians II. und Karls II. von Innerösterreich.";;kaiser;1558;1564
isabella_von_portugal;Isabella von Portugal;Röm.-dt. Kaiserin, Königin von Spanien (durch Heirat);avis;24. Oktober 1503;nein;1. Mai 1539;nein;karl_v;nein;;;;;"Einzige Ehefrau Karls V. (Heirat 1526); Tochter König Manuels I. von Portugal. Mutter Philipps II. von Spanien und Marias von Spanien (Mutter Kaiser Matthias', siehe Zeile maria_von_spanien_1528).";;kaiserin_heirat;;
maximilian_ii;Maximilian II.;König von Böhmen und Ungarn, Kaiser des Hl. Römischen Reichs (ab 1564);habsburg;31. Juli 1527;nein;12. Oktober 1576;nein;maria_von_spanien_1528;nein;ferdinand_i;nein;anna_von_boehmen_ungarn;nein;"Sohn Ferdinands I.; nicht Teil der ursprünglichen 26er-Liste, aber als Vater des Kaisers Matthias für die Verknüpfung nötig.";;kaiser;1564;1576
maria_von_spanien_1528;Maria von Spanien;Röm.-dt. Kaiserin (durch Heirat);spanische_habsburger;21. Juni 1528;nein;26. Februar 1603;nein;maximilian_ii;nein;karl_v;nein;isabella_von_portugal;nein;Tochter Karls V. und Isabellas von Portugal. Mutter Kaiser Matthias'.;;kaiserin_heirat;;
karl_ii_innerroesterreich;Karl II. von Innerösterreich;Erzherzog von Innerösterreich (Steiermark, Kärnten, Krain);habsburg;3. Juni 1540;nein;10. Juli 1590;nein;maria_von_bayern_1551;nein;ferdinand_i;nein;anna_von_boehmen_ungarn;nein;"Dritter Sohn Ferdinands I.; nicht Teil der ursprünglichen 26er-Liste, aber als Vater Ferdinands II. für die Verknüpfung nötig.";;keiner;;
maria_von_bayern_1551;Maria von Bayern;Erzherzogin von Innerösterreich (durch Heirat);wittelsbach;1551;nein;1608;nein;karl_ii_innerroesterreich;nein;;;;;Tochter Herzog Albrechts V. von Bayern. Mutter Ferdinands II.;;keiner;;
rudolf_ii;Rudolf II.;König von Böhmen und Ungarn, Kaiser des Hl. Römischen Reichs (ab 1576);habsburg;18. Juli 1552;nein;20. Januar 1612;nein;;;maximilian_ii;nein;maria_von_spanien_1528;nein;"Sohn Maximilians II.; Bruder und Vorgänger Kaiser Matthias. Unverheiratet, keine legitimen Nachkommen.";;kaiser;1576;1612
matthias_i;Matthias;König von Ungarn (ab 1608) und Böhmen (ab 1611), Kaiser des Hl. Römischen Reichs (ab 1612);habsburg;24. Februar 1557;nein;20. März 1619;nein;anna_von_tirol;nein;maximilian_ii;nein;maria_von_spanien_1528;nein;"Vierter Sohn Maximilians II.; führte innerfamiliäre Opposition gegen seinen Bruder Rudolf II. (""Bruderzwist in Habsburg""). Kinderlose Ehe. In der Liste als ""Matthias I."" bezeichnet.";;kaiser;1612;1619
maria_anna_von_bayern_1574;Maria Anna von Bayern;Erzherzogin von Innerösterreich (durch Heirat);wittelsbach;18. Dezember 1574;nein;8. März 1616;nein;ferdinand_ii;nein;;;;;"Erste Ehefrau Ferdinands II. (Heirat 1600); Tochter Herzog Wilhelms V. von Bayern. Sie starb 1616 und wurde daher nicht römisch-deutsche Kaiserin. Mutter Ferdinands III.";;keiner;;
ferdinand_ii;Ferdinand II.;Erzherzog von Innerösterreich, König von Böhmen (ab 1617) und Ungarn (ab 1618), Kaiser des Hl. Römischen Reichs (ab 1619);habsburg;9. Juli 1578;nein;15. Februar 1637;nein;maria_anna_von_bayern_1574|eleonore_gonzaga_1598;nein;karl_ii_innerroesterreich;nein;maria_von_bayern_1551;nein;"Zentrale Figur des Dreißigjährigen Krieges; strenger Verfechter der Gegenreformation. Vater Ferdinands III. (aus erster Ehe). Zweite Ehe kinderlos.";;kaiser;1619;1637
anna_von_tirol;Anna von Österreich-Tirol;Röm.-dt. Kaiserin (durch Heirat);habsburg_tirol;4. Oktober 1585;nein;15. Dezember 1618;nein;matthias_i;nein;;;;;"Kinderlose Ehe mit Matthias (Heirat 1611); Tochter Erzherzog Ferdinands II. von Tirol. Stiftete die Kapuzinergruft in Wien.";;kaiserin_heirat;;
eleonore_gonzaga_1598;"Eleonore Gonzaga (""die Ältere"")";Röm.-dt. Kaiserin (durch Heirat);gonzaga;23. September 1598;nein;27. Juni 1655;nein;ferdinand_ii;nein;;;;;"Zweite, kinderlose Ehe Ferdinands II. (Heirat 1622); Tochter Herzog Vincenzos I. von Mantua aus dem Haus Gonzaga. Zur Unterscheidung von ihrer gleichnamigen Stiefenkelin (Ehefrau Ferdinands III.) als ""die Ältere"" bezeichnet.";;kaiserin_heirat;;
